"","GEOID","NAME","variable","estimate","moe","concept","label"
"1","23001","Androscoggin County, Maine","B08601_001",49753,1270,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"2","23001","Androscoggin County, Maine","B08601_002",45007,1245,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van"
"3","23001","Androscoggin County, Maine","B08601_003",39768,1219,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Drove alone"
"4","23001","Androscoggin County, Maine","B08601_004",5239,590,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled"
"5","23001","Androscoggin County, Maine","B08601_005",4125,526,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool"
"6","23001","Androscoggin County, Maine","B08601_006",721,202,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool"
"7","23001","Androscoggin County, Maine","B08601_007",268,147,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool"
"8","23001","Androscoggin County, Maine","B08601_008",54,34,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool"
"9","23001","Androscoggin County, Maine","B08601_009",71,62,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool"
"10","23001","Androscoggin County, Maine","B08601_010",83,51,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)"
"11","23001","Androscoggin County, Maine","B08601_011",83,51,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus"
"12","23001","Androscoggin County, Maine","B08601_012",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)"
"13","23001","Androscoggin County, Maine","B08601_013",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated"
"14","23001","Androscoggin County, Maine","B08601_014",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad"
"15","23001","Androscoggin County, Maine","B08601_015",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat"
"16","23001","Androscoggin County, Maine","B08601_016",216,114,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Taxicab"
"17","23001","Androscoggin County, Maine","B08601_017",42,36,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Motorcycle"
"18","23001","Androscoggin County, Maine","B08601_018",189,123,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Bicycle"
"19","23001","Androscoggin County, Maine","B08601_019",1904,304,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Walked"
"20","23001","Androscoggin County, Maine","B08601_020",146,73,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Other means"
"21","23001","Androscoggin County, Maine","B08601_021",2166,326,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Worked at home"
"22","23001","Androscoggin County, Maine","B08602_001",47587,1236,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"23","23001","Androscoggin County, Maine","B08602_002",2194,430,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!12 00 a.m. to 4 59 a.m."
"24","23001","Androscoggin County, Maine","B08602_003",1321,275,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 00 a.m. to 5 29 a.m."
"25","23001","Androscoggin County, Maine","B08602_004",2586,414,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 30 a.m. to 5 59 a.m."
"26","23001","Androscoggin County, Maine","B08602_005",3516,412,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!6 00 a.m. to 6 29 a.m."
"27","23001","Androscoggin County, Maine","B08602_006",5501,585,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!6 30 a.m. to 6 59 a.m."
"28","23001","Androscoggin County, Maine","B08602_007",6913,579,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!7 00 a.m. to 7 29 a.m."
"29","23001","Androscoggin County, Maine","B08602_008",7446,523,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!7 30 a.m. to 7 59 a.m."
"30","23001","Androscoggin County, Maine","B08602_009",4717,540,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!8 00 a.m. to 8 29 a.m."
"31","23001","Androscoggin County, Maine","B08602_010",2880,375,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!8 30 a.m. to 8 59 a.m."
"32","23001","Androscoggin County, Maine","B08602_011",2348,380,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!9 00 a.m. to 9 59 a.m."
"33","23001","Androscoggin County, Maine","B08602_012",1229,281,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!10 00 a.m. to 10 59 a.m."
"34","23001","Androscoggin County, Maine","B08602_013",890,193,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!11 00 a.m. to 11 59 a.m."
"35","23001","Androscoggin County, Maine","B08602_014",2538,318,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!12 00 p.m. to 3 59 p.m."
"36","23001","Androscoggin County, Maine","B08602_015",3508,400,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!4 00 p.m. to 11 59 p.m."
"37","23001","Androscoggin County, Maine","B08603_001",47587,1236,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"38","23001","Androscoggin County, Maine","B08603_002",1839,353,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Less than 5 minutes"
"39","23001","Androscoggin County, Maine","B08603_003",6735,607,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 to 9 minutes"
"40","23001","Androscoggin County, Maine","B08603_004",7907,638,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!10 to 14 minutes"
"41","23001","Androscoggin County, Maine","B08603_005",7525,680,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!15 to 19 minutes"
"42","23001","Androscoggin County, Maine","B08603_006",5977,556,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!20 to 24 minutes"
"43","23001","Androscoggin County, Maine","B08603_007",3300,424,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!25 to 29 minutes"
"44","23001","Androscoggin County, Maine","B08603_008",4734,518,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!30 to 34 minutes"
"45","23001","Androscoggin County, Maine","B08603_009",1550,230,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!35 to 39 minutes"
"46","23001","Androscoggin County, Maine","B08603_010",1779,300,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!40 to 44 minutes"
"47","23001","Androscoggin County, Maine","B08603_011",3878,380,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!45 to 59 minutes"
"48","23001","Androscoggin County, Maine","B08603_012",1584,250,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!60 to 89 minutes"
"49","23001","Androscoggin County, Maine","B08603_013",779,197,"TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!90 or more minutes"
"50","23003","Aroostook County, Maine","B08601_001",28909,596,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"51","23003","Aroostook County, Maine","B08601_002",25979,624,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van"
"52","23003","Aroostook County, Maine","B08601_003",23060,663,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Drove alone"
"53","23003","Aroostook County, Maine","B08601_004",2919,341,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled"
"54","23003","Aroostook County, Maine","B08601_005",2403,324,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool"
"55","23003","Aroostook County, Maine","B08601_006",283,88,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool"
"56","23003","Aroostook County, Maine","B08601_007",126,58,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool"
"57","23003","Aroostook County, Maine","B08601_008",57,51,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool"
"58","23003","Aroostook County, Maine","B08601_009",50,44,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool"
"59","23003","Aroostook County, Maine","B08601_010",31,24,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)"
"60","23003","Aroostook County, Maine","B08601_011",31,24,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus"
"61","23003","Aroostook County, Maine","B08601_012",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)"
"62","23003","Aroostook County, Maine","B08601_013",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated"
"63","23003","Aroostook County, Maine","B08601_014",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad"
"64","23003","Aroostook County, Maine","B08601_015",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat"
"65","23003","Aroostook County, Maine","B08601_016",45,37,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Taxicab"
"66","23003","Aroostook County, Maine","B08601_017",3,4,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Motorcycle"
"67","23003","Aroostook County, Maine","B08601_018",53,36,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Bicycle"
"68","23003","Aroostook County, Maine","B08601_019",1267,231,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Walked"
"69","23003","Aroostook County, Maine","B08601_020",324,97,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Other means"
